"lipid","log2FC","minus_log10_pvalue"
"PE(37:6)",0.872369638144196,0.460923901207223
"PE(O-38:6)",-2.32414028851185,2.0195421077239
"PE(O-38:6)",0.0888473652285811,0.0530567293021746
"SM(32:1)",-0.486120592252465,0.291579099865287
"PE(37:5)",1.25053255682326,0.640164517660112
"PE(O-38:5)",-1.00372333231476,0.732828271596986
"PE(O-38:5)",-0.70894779154737,0.543633966870957
"PE(37:4)",0.841606530586578,0.735182176990464
"PE(O-38:4)",-1.50785938735502,1.00436480540245
"Cer(44:1)",-0.428443009818057,0.16304326294045
"PS(15:0_18:1(d7))",0.535106382812533,0.444905551421681
"PE(O-38:3)",-1.33360958924451,0.698970004336019
"PE(O-38:3)",-1.22977628788996,0.723538195826756
"HexCer(38:1)",1.17500312741956,0.43297363384094
"Cer(44:0)",-0.0854356053920569,0.0282604091122217
"PE(37:2)",-0.923173639958499,0.742321425130815
"HexCer(34:2)",3.01292118986124,0.749579997691106
"PE(O-38:2)",-1.62962664554659,0.767003889607846
"PS(34:2)",2.89319640886864,1.34486156518862
"PE(O-39:8)",1.18167608430442,0.473660722610156
"HexCer(34:1)",0.95250301545002,0.51427857351842
"PE(O-38:1)",-1.40460807765004,0.607303046740334
"SM(34:2)",0.281048383809928,0.157390760389438
"PE(38:7)",1.10267190521287,1.07675598136972
"PE(O-39:7)",-0.329097906097747,0.155522824254319
"HexCer(34:0)",0.396730409066848,0.233587152887601
"SM(34:1)",0.16949120048195,0.11690664142431
"PE(38:6)",1.49752977500175,1.43770713554353
"PE(38:6)",0.680665221020018,0.496209316942819
"PE(O-39:6)",-1.32498964090738,1.09799710864927
"SM(33:1)",-1.5118693468892,1.42829116819131
"SM(34:0)",0.406068684543904,0.440093374963888
"FA(16:4)",3.02192701430665,1.60380065290426
"PE(38:5)",0.97018210032785,1.04720755695591
"PC(30:0)",0.35448217717823,0.335358024443874
"PE(O-39:5)",-0.782247226430336,0.472370099128661
"PE(38:4)",0.801968993140175,0.785156151952302
"PE(O-39:4)",-1.37434786791694,0.747146969020107
"Cer(46:0)",-0.0399490108130571,0.0947439512515487
"DGGA(34:2)",0.472413412534735,0.504455662453552
"PE(38:3)",0.617897352522114,0.518557371497695
"PE(38:3)",0.564145593135567,0.459670525209126
"PG(36:4)",-1.30302614101529,0.838631997765025
"PG(36:4)",-0.395036062459869,0.277366077466188
"PE-Cer(42:2)",1.27128765310131,0.661543506395395
"PE(O-40:9)",0.417894268736202,0.224025668870631
"PE(38:2)",-0.557706332717313,0.370590400897281
"PE(O-39:2)",-1.51636934998543,0.756961951313706
"PE-Cer(42:1)",0.965264890878156,0.446116973356126
"PE(O-40:8)",0.00318657733797068,0.00174066157630127
"PC(O-32:3)",-1.5200010734088,1.1771783546969
"PE(38:1)",0.112802935519536,0.0506099933550872
"PG(36:2)",-0.499473279379018,0.325138859262188
"PG(36:2)",0.00499890874817766,0.00217691925427455
"PE(O-40:7)",-0.715126121681802,0.482804102050026
"HexCer(34:1)",-0.828539160308797,0.33161408331
"PG(36:1)",-0.120074808953529,0.07727454200674
"SM(34:2)",-0.14864104491663,0.0814454694497265
"FA(16:3)",1.65620707568191,1.09420411963213
"SM(35:1)",-0.107598233444055,0.0540392964224314
"SHexCer(34:2)",0.506750384291777,0.298432014944073
"PE(39:6)",0.918911825133414,0.665546248849069
"PE(O-40:6)",-1.6688818214444,0.939302159646388
"PC(O-32:1)",0.695990094183578,0.609064892896621
"SM(34:1)",-0.681195156205945,0.714442690992226
"PE(38:6)",1.53832707922508,0.847711655616944
"SHexCer(34:1)",-0.0340886430591496,0.0172766123314547
"PC(31:0)",-0.217475186874509,0.168770306132937
"PE(O-40:5)",-1.437193683226,0.835647144215563
"PE(O-40:5)",-1.0498368335447,0.575118363368933
"PC(O-32:0)",0.674938310418558,0.714442690992226
"PE(39:4)",0.473644193991458,0.31069114087638
"PE(O-40:4)",-1.73842557875065,0.818156412055227
"PE(O-40:4)",-1.30150463905264,0.679853713888946
"PS(36:4)",1.69070527595834,1.05354773498693
"PE(O-40:3)",-1.38060690511887,0.632644078973981
"PE(O-40:3)",-1.78700948350232,0.860120913598763
"HexCer(40:1)",0.0342214285941687,0.0109953843014632
"Cer(46:0)",0.212835389074979,0.247951552180562
"SM(36:4)",1.04227276156508,0.324221658325915
"PS(36:3)",2.8470162619728,1.16877030613294
"PE(O-40:2)",-1.47203358883998,0.623423042943488
"PE(O-40:2)",-1.42533346397347,0.600326278518962
"SM(36:3)",1.81460645035839,0.555955204081924
"FA(16:2)",1.45993518885842,1.30627305107635
"PE(40:8)",2.10140974817642,2.14752000636314
"PS(36:2)",2.74288985199845,1.26680273489343
"HexCer(36:1)",0.88209491588162,0.444905551421681
"PE(O-40:1)",-1.34443009889694,0.602059991327962
